MPA_Name,MPA_designation,MPA_study_region,SubSection,PreText,Coordinate,PostText,Lat,Long,LongDDM,LatDDM,SortOrder,PositionID
Casino Point (Catalina Island) State Marine Conservation Area,SMCA (No-Take),SC,127, ,33Á 20.960' N. lat. 118Á 19.560' W. long., ,33.349333,-118.326,118Á 19.560' W,33Á 20.960' N,7,127_7
Cat Harbor (Catalina Island) State Marine Conservation Area,SMCA,SC,131,(A) This area includes the waters below the mean high tide line on the west side of Catalina Island northward of a straight line connecting Pin Rock,33Á 25.500' N. lat. 118Á 30.280' W. long.,and Cat Head Point,33.425,-118.504667,118Á 30.280' W,33Á 25.500' N,1,131_1
Cat Harbor (Catalina Island) State Marine Conservation Area,SMCA,SC,131, ,33Á 25.320' N. lat. 118Á 30.760' W. long., ,33.422,-118.512667,118Á 30.760' W,33Á 25.320' N,2,131_2
Crystal Cove State Marine Conservation Area,SMCA,SC,133,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed:,33Á 35.373' N. lat. 117Á 52.648' W. long.;, ,33.58955,-117.877467,117Á 52.648' W,33Á 35.373' N,1,133_1
Crystal Cove State Marine Conservation Area,SMCA,SC,133, ,33Á 35.065' N. lat. 117Á 52.692' W. long.;, ,33.584417,-117.8782,117Á 52.692' W,33Á 35.065' N,2,133_2
Crystal Cove State Marine Conservation Area,SMCA,SC,133, ,33Á 32.400' N. lat. 117Á 49.200' W. long.;,and,33.54,-117.82,117Á 49.200' W,33Á 32.400' N,3,133_3
Crystal Cove State Marine Conservation Area,SMCA,SC,133, ,33Á 33.233' N. lat. 117Á 49.200' W. long., ,33.553883,-117.82,117Á 49.200' W,33Á 33.233' N,4,133_4
Dana Point State Marine Conservation Area,SMCA,SC,136,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed:,33Á 30.050' N. lat. 117Á 44.771' W. long.;, ,33.500833,-117.746183,117Á 44.771' W,33Á 30.050' N,1,136_1
Dana Point State Marine Conservation Area,SMCA,SC,136, ,33Á 30.050' N. lat. 117Á 46.000' W. long.;, ,33.500833,-117.766667,117Á 46.000' W,33Á 30.050' N,2,136_2
Dana Point State Marine Conservation Area,SMCA,SC,136, ,33Á 30.000' N. lat. 117Á 46.000' W. long.;, ,33.5,-117.766667,117Á 46.000' W,33Á 30.000' N,3,136_3
Dana Point State Marine Conservation Area,SMCA,SC,136, ,33Á 27.300' N. lat. 117Á 43.300' W. long.;, ,33.455,-117.721667,117Á 43.300' W,33Á 27.300' N,4,136_4
Dana Point State Marine Conservation Area,SMCA,SC,136, ,33Á 27.478' N. lat. 117Á 42.276' W. long.;,and,33.457967,-117.7046,117Á 42.276' W,33Á 27.478' N,5,136_5
Dana Point State Marine Conservation Area,SMCA,SC,136, ,33Á 27.622' N. lat. 117Á 42.425' W. long., ,33.460367,-117.707083,117Á 42.425' W,33Á 27.622' N,6,136_6
Famosa Slough State Marine Conservation Area,SMCA (No-Take),SC,145,"(A) This area includes the waters below the mean high tide line within Famosa Slough estuary southward of the San Diego River channel, located at approximately",32Á 45.430' N. lat. 117Á 13.750' W. long., ,32.757167,-117.229167,117Á 13.750' W,32Á 45.430' N,1,145_1
Farnsworth (Catalina Island) Offshore State Marine Conservation Area,SMCA,SC,130,(A) This area is bounded by straight lines connecting the following points in the order listed except where noted:,33Á 21.000' N. lat. 118Á 30.000' W. long.;, ,33.35,-118.5,118Á 30.000' W,33Á 21.000' N,1,130_1
Farnsworth (Catalina Island) Offshore State Marine Conservation Area,SMCA,SC,130, ,33Á 21.000' N. lat. 118Á 32.880' W. long.;,thence southward along the three nautical mile offshore boundary to,33.35,-118.548,118Á 32.880' W,33Á 21.000' N,2,130_2
Farnsworth (Catalina Island) Offshore State Marine Conservation Area,SMCA,SC,130, ,33Á 19.000' N. lat. 118Á 31.980' W. long.;, ,33.316667,-118.533,118Á 31.980' W,33Á 19.000' N,3,130_3
Farnsworth (Catalina Island) Offshore State Marine Conservation Area,SMCA,SC,130, ,33Á 19.000' N. lat. 118Á 29.000' W. long.,and,33.316667,-118.483333,118Á 29.000' W,33Á 19.000' N,4,130_4
Farnsworth (Catalina Island) Offshore State Marine Conservation Area,SMCA,SC,130, ,33Á 21.000' N. lat. 118Á 30.000' W. long., ,33.35,-118.5,118Á 30.000' W,33Á 21.000' N,5,130_5
Farnsworth (Catalina Island) Onshore State Marine Conservation Area,SMCA,SC,129,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed:,33Á 21.000' N. lat. 118Á 29.080' W. long.;, ,33.35,-118.484667,118Á 29.080' W,33Á 21.000' N,1,129_1
Farnsworth (Catalina Island) Onshore State Marine Conservation Area,SMCA,SC,129, ,33Á 21.000' N. lat. 118Á 30.000' W. long.;, ,33.35,-118.5,118Á 30.000' W,33Á 21.000' N,2,129_2
Farnsworth (Catalina Island) Onshore State Marine Conservation Area,SMCA,SC,129, ,33Á 19.000' N. lat. 118Á 29.000' W. long.;, ,33.316667,-118.483333,118Á 29.000' W,33Á 19.000' N,3,129_3
Farnsworth (Catalina Island) Onshore State Marine Conservation Area,SMCA,SC,129, ,33Á 19.000' N. lat. 118Á 27.900' W. long.;,and,33.316667,-118.465,118Á 27.900' W,33Á 19.000' N,4,129_4
Farnsworth (Catalina Island) Onshore State Marine Conservation Area,SMCA,SC,129, ,33Á 19.560' N. lat. 118Á 27.900' W. long., ,33.326,-118.465,118Á 27.900' W,33Á 19.560' N,5,129_5
Footprint (Anacapa Channel) State Marine Reserve,SMR,SC,114,(A) This area is bounded by the straight lines connecting the following points in the order listed except where noted:,33Á 59.300' N. lat. 119Á 30.965' W. long.;, ,33.988333,-119.516083,119Á 30.965' W,33Á 59.300' N,1,114_1
Footprint (Anacapa Channel) State Marine Reserve,SMR,SC,114, ,33Á 57.510' N. lat. 119Á 30.965' W. long.;,thence eastward along the three nautical mile offshore boundary to,33.9585,-119.516083,119Á 30.965' W,33Á 57.510' N,2,114_2
Footprint (Anacapa Channel) State Marine Reserve,SMR,SC,114, ,33Á 57.264' N. lat. 119Á 25.987' W. long.;, ,33.9544,-119.433117,119Á 25.987' W,33Á 57.264' N,3,114_3
Footprint (Anacapa Channel) State Marine Reserve,SMR,SC,114, ,33Á 59.300' N. lat. 119Á 25.987' W. long.;,and,33.988333,-119.433117,119Á 25.987' W,33Á 59.300' N,4,114_4
Footprint (Anacapa Channel) State Marine Reserve,SMR,SC,114, ,33Á 59.300' N. lat. 119Á 30.965' W. long., ,33.988333,-119.516083,119Á 30.965' W,33Á 59.300' N,5,114_5
Goleta Slough State Marine Conservation Area,SMCA (No-Take),SC,100,(A) This area includes the waters below the mean high tide line within Goleta Slough northward of latitude,34Á 25.020' N., ,34.41697398,-119.8261955,119Á 49.572' W,34Á 25.019' N,1,100_1
Gull Island (Santa Cruz Island) State Marine Reserve,SMR,SC,109,(A) This area is bounded by the mean high tide line and straight lines connecting the following points except where noted:,33Á 58.065' N. lat. 119Á 50.967' W. long.;, ,33.96775,-119.84945,119Á 50.967' W,33Á 58.065' N,1,109_1
Gull Island (Santa Cruz Island) State Marine Reserve,SMR,SC,109, ,33Á 58.000' N. lat. 119Á 51.000' W. long.;, ,33.966667,-119.85,119Á 51.000' W,33Á 58.000' N,2,109_2
Gull Island (Santa Cruz Island) State Marine Reserve,SMR,SC,109, ,33Á 58.000' N. lat. 119Á 53.000' W. long.;, ,33.966667,-119.883333,119Á 53.000' W,33Á 58.000' N,3,109_3
Gull Island (Santa Cruz Island) State Marine Reserve,SMR,SC,109, ,33Á 55.449' N. lat. 119Á 53.000' W. long.;,thence eastward along the three nautical mile offshore boundary to,33.92415,-119.883333,119Á 53.000' W,33Á 55.449' N,4,109_4
Gull Island (Santa Cruz Island) State Marine Reserve,SMR,SC,109, ,33Á 54.257' N. lat. 119Á 48.000' W. long.;,and,33.904283,-119.8,119Á 48.000' W,33Á 54.257' N,5,109_5
Gull Island (Santa Cruz Island) State Marine Reserve,SMR,SC,109, ,33Á 57.756' N. lat. 119Á 48.000' W. long., ,33.9626,-119.8,119Á 48.000' W,33Á 57.756' N,6,109_6
Harris Point (San Miguel Island) State Marine Reserve,SMR,SC,103,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed except where noted:,34Á 03.160' N. lat. 120Á 23.300' W. long.;, ,34.052667,-120.388333,120Á 23.300' W,34Á 3.160' N,1,103_1
Harris Point (San Miguel Island) State Marine Reserve,SMR,SC,103, ,34Á 09.285' N. lat. 120Á 23.300' W. long.;,thence southeastward along the three nautical mile offshore boundary to,34.15475,-120.388333,120Á 23.300' W,34Á 9.285' N,2,103_2
Harris Point (San Miguel Island) State Marine Reserve,SMR,SC,103, ,34Á 06.322' N. lat. 120Á 18.400' W. long.;,and,34.105367,-120.306667,120Á 18.400' W,34Á 6.322' N,3,103_3
Harris Point (San Miguel Island) State Marine Reserve,SMR,SC,103, ,34Á 01.755' N. lat. 120Á 18.400' W. long., ,34.02925,-120.306667,120Á 18.400' W,34Á 1.755' N,4,103_4
Harris Point (San Miguel Island) State Marine Reserve,SMR,SC,103,"(C) An exemption to the reserve, where commercial and recreational take of living marine resources is allowed, exists between the mean high tide line in Cuyler Harbor and a straight line between the following points:",34Á 03.554' N. lat. 120Á 21.311' W. long.;,and,34.059233,-120.355183,120Á 21.311' W,34Á 3.554' N,5,103_5
Harris Point (San Miguel Island) State Marine Reserve,SMR,SC,103, ,34Á 02.908' N. lat. 120Á 20.161' W. long., ,34.048467,-120.336017,120Á 20.161' W,34Á 2.908' N,6,103_6
Judith Rock (San Miguel Island) State Marine Reserve,SMR,SC,104,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed except where noted:,34Á 01.802' N. lat. 120Á 26.600' W. long.;, ,34.030033,-120.443333,120Á 26.600' W,34Á 1.802' N,1,104_1
Judith Rock (San Miguel Island) State Marine Reserve,SMR,SC,104, ,33Á 58.508' N. lat. 120Á 26.600' W. long.;,thence eastward along the three nautical mile offshore boundary to,33.975133,-120.443333,120Á 26.600' W,33Á 58.508' N,2,104_2
Judith Rock (San Miguel Island) State Marine Reserve,SMR,SC,104, ,33Á 58.510' N. lat. 120Á 25.300' W. long.;,and,33.975167,-120.421667,120Á 25.300' W,33Á 58.510' N,3,104_3
Judith Rock (San Miguel Island) State Marine Reserve,SMR,SC,104, ,34Á 01.618' N. lat. 120Á 25.300' W. long., ,34.026967,-120.421667,120Á 25.300' W,34Á 1.618' N,4,104_4
Kashtayit State Marine Conservation Area,SMCA,SC,97,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed:,34Á 28.130' N. lat. 120Á 14.460' W. long.;, ,34.468833,-120.241,120Á 14.460' W,34Á 28.130' N,1,97_1
Kashtayit State Marine Conservation Area,SMCA,SC,97, ,34Á 27.300' N. lat. 120Á 14.460' W. long.;, ,34.455,-120.241,120Á 14.460' W,34Á 27.300' N,2,97_2
Kashtayit State Marine Conservation Area,SMCA,SC,97, ,34Á 27.300' N. lat. 120Á 12.470' W. long.;,and,34.455,-120.207833,120Á 12.470' W,34Á 27.300' N,3,97_3
Kashtayit State Marine Conservation Area,SMCA,SC,97, ,34Á 28.230' N. lat. 120Á 12.470' W. long., ,34.4705,-120.207833,120Á 12.470' W,34Á 28.230' N,4,97_4
Laguna Beach State Marine Conservation Area,SMCA (No-Take),SC,135,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed:,33Á 30.800' N. lat. 117Á 45.631' W. long.;, ,33.513333,-117.760517,117Á 45.631' W,33Á 30.800' N,1,135_1
Laguna Beach State Marine Conservation Area,SMCA (No-Take),SC,135, ,33Á 30.800' N. lat. 117Á 49.200' W. long.;, ,33.513333,-117.82,117Á 49.200' W,33Á 30.800' N,2,135_2
Laguna Beach State Marine Conservation Area,SMCA (No-Take),SC,135, ,33Á 30.050' N. lat. 117Á 49.200' W. long.;,and,33.500833,-117.82,117Á 49.200' W,33Á 30.050' N,3,135_3
Laguna Beach State Marine Conservation Area,SMCA (No-Take),SC,135, ,33Á 30.050' N. lat. 117Á 44.771' W. long., ,33.500833,-117.746183,117Á 44.771' W,33Á 30.050' N,4,135_4
Laguna Beach State Marine Reserve,SMR,SC,134,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed:,33Á 33.233' N. lat. 117Á 49.200' W. long.;, ,33.553883,-117.82,117Á 49.200' W,33Á 33.233' N,1,134_1
Laguna Beach State Marine Reserve,SMR,SC,134, ,33Á 30.800' N. lat. 117Á 49.200' W. long.;,and,33.513333,-117.82,117Á 49.200' W,33Á 30.800' N,2,134_2
Laguna Beach State Marine Reserve,SMR,SC,134, ,33Á 30.800' N. lat. 117Á 45.631' W. long., ,33.513333,-117.760517,117Á 45.631' W,33Á 30.800' N,3,134_3
Long Point (Catalina Island) State Marine Reserve,SMR,SC,126,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed:,33Á 24.380' N. lat. 118Á 21.980' W. long.;, ,33.406333,-118.366333,118Á 21.980' W,33Á 24.380' N,1,126_1
Long Point (Catalina Island) State Marine Reserve,SMR,SC,126, ,33Á 25.500' N. lat. 118Á 21.980' W. long.;, ,33.425,-118.366333,118Á 21.980' W,33Á 25.500' N,2,126_2
Long Point (Catalina Island) State Marine Reserve,SMR,SC,126, ,33Á 25.500' N. lat. 118Á 24.000' W. long.;,and,33.425,-118.4,118Á 24.000' W,33Á 25.500' N,3,126_3
Long Point (Catalina Island) State Marine Reserve,SMR,SC,126, ,33Á 25.110' N. lat. 118Á 24.000' W. long., ,33.4185,-118.4,118Á 24.000' W,33Á 25.110' N,4,126_4
Lover's Cove (Catalina Island) State Marine Conservation Area,SMCA,SC,128,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed:,33Á 20.460' N. lat. 118Á 18.900' W. long.;, ,33.341,-118.315,118Á 18.900' W,33Á 20.460' N,1,128_1
Lover's Cove (Catalina Island) State Marine Conservation Area,SMCA,SC,128, ,33Á 20.711' N. lat. 118Á 18.900' W. long.;,and,33.34518333,-118.315,118Á 18.900' W,33Á 20.711' N,2,128_2
