Serial Number:20565252 --,,,,,
,,,,,
"Date Time, GMT -0700","Temp, (*F)",Host Connect,Button Down,Button Up,EOF
7/7/2022 19:36,70.62, , , , 
7/7/2022 19:37,70.72, , , , 
7/7/2022 19:38,70.8, , , , 
7/7/2022 19:39,70.88, , , , 
7/7/2022 19:40,70.95, , , , 
7/7/2022 19:41,71.03, , , , 
7/7/2022 19:42,71.11, , , , 
7/7/2022 19:43,71.18, , , , 
7/7/2022 19:44,71.2, , , , 
7/7/2022 19:45,71.22, , , , 
7/7/2022 19:46,71.24, , , , 
7/7/2022 19:47,71.13, , , , 
7/7/2022 19:48,71.11, , , , 
7/7/2022 19:49,71.03, , , , 
7/7/2022 19:50,71.03, , , , 
7/7/2022 19:51,71.09, , , , 
7/7/2022 19:52,71.17, , , , 
7/7/2022 19:53,71.17, , , , 
7/7/2022 19:54,71.2, , , , 
7/7/2022 19:55,71.3, , , , 
7/7/2022 19:56,71.34, , , , 
7/7/2022 19:57,71.44, , , , 
7/7/2022 19:58,71.47, , , , 
7/7/2022 19:59,71.53, , , , 
7/7/2022 20:00,71.55, , , , 
7/7/2022 20:01,71.57, , , , 
7/7/2022 20:02,71.51, , , , 
7/7/2022 20:03,71.49, , , , 
7/7/2022 20:04,71.38, , , , 
7/7/2022 20:05,71.36, , , , 
7/7/2022 20:06,71.32, , , , 
7/7/2022 20:07,71.32, , , , 
7/7/2022 20:08,71.38, , , , 
7/7/2022 20:09,71.36, , , , 
7/7/2022 20:10,71.45, , , , 
7/7/2022 20:11,71.51, , , , 
7/7/2022 20:12,71.59, , , , 
7/7/2022 20:13,71.63, , , , 
7/7/2022 20:14,71.73, , , , 
7/7/2022 20:15,71.76, , , , 
7/7/2022 20:16,71.84, , , , 
7/7/2022 20:17,71.84, , , , 
7/7/2022 20:18,71.8, , , , 
7/7/2022 20:19,71.73, , , , 
7/7/2022 20:20,71.65, , , , 
7/7/2022 20:21,71.53, , , , 
7/7/2022 20:22,71.47, , , , 
7/7/2022 20:23,71.51, , , , 
7/7/2022 20:24,71.53, , , , 
7/7/2022 20:25,71.59, , , , 
7/7/2022 20:26,71.69, , , , 
7/7/2022 20:27,71.76, , , , 
7/7/2022 20:28,71.8, , , , 
7/7/2022 20:29,71.88, , , , 
7/7/2022 20:30,71.9, , , , 
7/7/2022 20:31,72, , , , 
7/7/2022 20:32,72.07, , , , 
7/7/2022 20:33,72.09, , , , 
7/7/2022 20:34,72.03, , , , 
7/7/2022 20:35,72.03, , , , 
7/7/2022 20:36,71.92, , , , 
7/7/2022 20:37,71.84, , , , 
7/7/2022 20:38,71.78, , , , 
7/7/2022 20:39,71.74, , , , 
7/7/2022 20:40,71.76, , , , 
7/7/2022 20:41,71.8, , , , 
7/7/2022 20:42,71.84, , , , 
7/7/2022 20:43,71.94, , , , 
7/7/2022 20:44,72, , , , 
7/7/2022 20:45,72.07, , , , 
7/7/2022 20:46,72.13, , , , 
7/7/2022 20:47,72.21, , , , 
7/7/2022 20:48,72.27, , , , 
7/7/2022 20:49,72.34, , , , 
7/7/2022 20:50,72.34, , , , 
7/7/2022 20:51,72.32, , , , 
7/7/2022 20:52,72.27, , , , 
7/7/2022 20:53,72.19, , , , 
7/7/2022 20:54,72.13, , , , 
7/7/2022 20:55,72.05, , , , 
7/7/2022 20:56,72.05, , , , 
7/7/2022 20:57,72.01, , , , 
7/7/2022 20:58,72.07, , , , 
7/7/2022 20:59,72.17, , , , 
7/7/2022 21:00,72.23, , , , 
7/7/2022 21:01,72.28, , , , 
7/7/2022 21:02,72.34, , , , 
7/7/2022 21:03,72.42, , , , 
7/7/2022 21:04,72.52, , , , 
7/7/2022 21:05,72.57, , , , 
7/7/2022 21:06,72.56, , , , 
7/7/2022 21:07,72.52, , , , 
7/7/2022 21:08,72.46, , , , 
7/7/2022 21:09,72.38, , , , 
7/7/2022 21:10,72.23, , , , 
7/7/2022 21:11,72.19, , , , 
7/7/2022 21:12,72.15, , , , 
7/7/2022 21:13,72.17, , , , 
7/7/2022 21:14,72.21, , , , 
7/7/2022 21:15,72.23, , , , 
7/7/2022 21:16,72.32, , , , 
7/7/2022 21:17,72.36, , , , 
7/7/2022 21:18,72.46, , , , 
7/7/2022 21:19,72.52, , , , 
7/7/2022 21:20,72.61, , , , 
7/7/2022 21:21,72.69, , , , 
7/7/2022 21:22,72.73, , , , 
7/7/2022 21:23,72.75, , , , 
7/7/2022 21:24,72.67, , , , 
7/7/2022 21:25,72.59, , , , 
7/7/2022 21:26,72.52, , , , 
7/7/2022 21:27,72.4, , , , 
7/7/2022 21:28,72.36, , , , 
7/7/2022 21:29,72.28, , , , 
7/7/2022 21:30,72.3, , , , 
7/7/2022 21:31,72.38, , , , 
7/7/2022 21:32,72.42, , , , 
7/7/2022 21:33,72.46, , , , 
7/7/2022 21:34,72.56, , , , 
7/7/2022 21:35,72.61, , , , 
7/7/2022 21:36,72.71, , , , 
7/7/2022 21:37,72.75, , , , 
7/7/2022 21:38,72.81, , , , 
7/7/2022 21:39,72.83, , , , 
7/7/2022 21:40,72.83, , , , 
7/7/2022 21:41,72.73, , , , 
7/7/2022 21:42,72.65, , , , 
7/7/2022 21:43,72.54, , , , 
7/7/2022 21:44,72.42, , , , 
7/7/2022 21:45,72.38, , , , 
7/7/2022 21:46,72.4, , , , 
7/7/2022 21:47,72.42, , , , 
7/7/2022 21:48,72.44, , , , 
7/7/2022 21:49,72.52, , , , 
7/7/2022 21:50,72.59, , , , 
7/7/2022 21:51,72.67, , , , 
7/7/2022 21:52,72.69, , , , 
7/7/2022 21:53,72.81, , , , 
7/7/2022 21:54,72.83, , , , 
7/7/2022 21:55,72.92, , , , 
7/7/2022 21:56,72.92, , , , 
7/7/2022 21:57,72.88, , , , 
7/7/2022 21:58,72.83, , , , 
7/7/2022 21:59,72.71, , , , 
7/7/2022 22:00,72.65, , , , 
7/7/2022 22:01,72.54, , , , 
7/7/2022 22:02,72.5, , , , 
7/7/2022 22:03,72.46, , , , 
7/7/2022 22:04,72.56, , , , 
7/7/2022 22:05,72.59, , , , 
7/7/2022 22:06,72.67, , , , 
7/7/2022 22:07,72.71, , , , 
7/7/2022 22:08,72.79, , , , 
7/7/2022 22:09,72.83, , , , 
7/7/2022 22:10,72.9, , , , 
7/7/2022 22:11,72.98, , , , 
7/7/2022 22:12,73.02, , , , 
7/7/2022 22:13,72.98, , , , 
7/7/2022 22:14,72.98, , , , 
7/7/2022 22:15,72.86, , , , 
7/7/2022 22:16,72.79, , , , 
7/7/2022 22:17,72.75, , , , 
7/7/2022 22:18,72.65, , , , 
7/7/2022 22:19,72.54, , , , 
7/7/2022 22:20,72.54, , , , 
7/7/2022 22:21,72.57, , , , 
7/7/2022 22:22,72.59, , , , 
7/7/2022 22:23,72.63, , , , 
7/7/2022 22:24,72.65, , , , 
7/7/2022 22:25,72.69, , , , 
7/7/2022 22:26,72.71, , , , 
7/7/2022 22:27,72.77, , , , 
7/7/2022 22:28,72.79, , , , 
7/7/2022 22:29,72.81, , , , 
7/7/2022 22:30,72.83, , , , 
7/7/2022 22:31,72.73, , , , 
7/7/2022 22:32,72.65, , , , 
7/7/2022 22:33,72.57, , , , 
7/7/2022 22:34,72.5, , , , 
7/7/2022 22:35,72.44, , , , 
7/7/2022 22:36,72.42, , , , 
7/7/2022 22:37,72.44, , , , 
7/7/2022 22:38,72.46, , , , 
7/7/2022 22:39,72.52, , , , 
7/7/2022 22:40,72.63, , , , 
7/7/2022 22:41,72.71, , , , 
7/7/2022 22:42,72.71, , , , 
7/7/2022 22:43,72.83, , , , 
7/7/2022 22:44,72.86, , , , 
7/7/2022 22:45,72.98, , , , 
7/7/2022 22:46,73.02, , , , 
7/7/2022 22:47,73, , , , 
7/7/2022 22:48,73.1, , , , 
7/7/2022 22:49,73.1, , , , 
7/7/2022 22:50,73.15, , , , 
7/7/2022 22:51,73.23, , , , 
7/7/2022 22:52,73.25, , , , 
7/7/2022 22:53,73.33, , , , 
7/7/2022 22:54,73.4, , , , 
7/7/2022 22:55,73.4, , , , 
7/7/2022 22:56,73.4, , , , 
7/7/2022 22:57,73.46, , , , 
7/7/2022 22:58,73.39, , , , 
7/7/2022 22:59,73.37, , , , 
7/7/2022 23:00,73.29, , , , 
7/7/2022 23:01,73.17, , , , 
7/7/2022 23:02,73.1, , , , 
7/7/2022 23:03,73.04, , , , 
7/7/2022 23:04,72.98, , , , 
7/7/2022 23:05,72.98, , , , 
7/7/2022 23:06,72.96, , , , 
7/7/2022 23:07,73, , , , 
7/7/2022 23:08,73.06, , , , 
7/7/2022 23:09,73.08, , , , 
7/7/2022 23:10,73.13, , , , 
7/7/2022 23:11,73.19, , , , 
7/7/2022 23:12,73.21, , , , 
7/7/2022 23:13,73.25, , , , 
7/7/2022 23:14,73.25, , , , 
7/7/2022 23:15,73.29, , , , 
7/7/2022 23:16,73.33, , , , 
7/7/2022 23:17,73.35, , , , 
7/7/2022 23:18,73.37, , , , 
7/7/2022 23:19,73.39, , , , 
7/7/2022 23:20,73.4, , , , 
7/7/2022 23:21,73.42, , , , 
7/7/2022 23:22,73.44, , , , 
7/7/2022 23:23,73.48, , , , 
7/7/2022 23:24,73.5, , , , 
7/7/2022 23:25,73.5, , , , 
7/7/2022 23:26,73.48, , , , 
7/7/2022 23:27,73.42, , , , 
7/7/2022 23:28,73.35, , , , 
7/7/2022 23:29,73.27, , , , 
7/7/2022 23:30,73.19, , , , 
7/7/2022 23:31,73.15, , , , 
7/7/2022 23:32,73.08, , , , 
7/7/2022 23:33,73.12, , , , 
7/7/2022 23:34,73.15, , , , 
7/7/2022 23:35,73.19, , , , 
7/7/2022 23:36,73.25, , , , 
7/7/2022 23:37,73.31, , , , 
7/7/2022 23:38,73.33, , , , 
7/7/2022 23:39,73.35, , , , 
7/7/2022 23:40,73.4, , , , 
7/7/2022 23:41,73.4, , , , 
7/7/2022 23:42,73.52, , , , 
7/7/2022 23:43,73.5, , , , 
7/7/2022 23:44,73.56, , , , 
7/7/2022 23:45,73.6, , , , 
7/7/2022 23:46,73.6, , , , 
7/7/2022 23:47,73.64, , , , 
7/7/2022 23:48,73.62, , , , 
7/7/2022 23:49,73.75, , , , 
7/7/2022 23:50,73.73, , , , 
7/7/2022 23:51,73.77, , , , 
7/7/2022 23:52,73.85, , , , 
7/7/2022 23:53,73.91, , , , 
7/7/2022 23:54,73.89, , , , 
7/7/2022 23:55,73.81, , , , 
7/7/2022 23:56,73.73, , , , 
7/7/2022 23:57,73.64, , , , 
7/7/2022 23:58,73.56, , , , 
7/7/2022 23:59,73.48, , , , 
7/8/2022 0:00,73.48, , , , 
7/8/2022 0:01,73.44, , , , 
7/8/2022 0:02,73.5, , , , 
7/8/2022 0:03,73.5, , , , 
7/8/2022 0:04,73.56, , , , 
7/8/2022 0:05,73.6, , , , 
7/8/2022 0:06,73.62, , , , 
7/8/2022 0:07,73.66, , , , 
7/8/2022 0:08,73.73, , , , 
7/8/2022 0:09,73.77, , , , 
7/8/2022 0:10,73.77, , , , 
7/8/2022 0:11,73.79, , , , 
7/8/2022 0:12,73.81, , , , 
7/8/2022 0:13,73.85, , , , 
7/8/2022 0:14,73.89, , , , 
7/8/2022 0:15,73.93, , , , 
7/8/2022 0:16,74.02, , , , 
7/8/2022 0:17,74, , , , 
7/8/2022 0:18,74.06, , , , 
7/8/2022 0:19,74.14, , , , 
7/8/2022 0:20,74.16, , , , 
7/8/2022 0:21,74.12, , , , 
7/8/2022 0:22,74.1, , , , 
7/8/2022 0:23,74.06, , , , 
7/8/2022 0:24,73.95, , , , 
7/8/2022 0:25,73.87, , , , 
7/8/2022 0:26,73.73, , , , 
7/8/2022 0:27,73.73, , , , 
7/8/2022 0:28,73.67, , , , 
7/8/2022 0:29,73.67, , , , 
7/8/2022 0:30,73.73, , , , 
7/8/2022 0:31,73.83, , , , 
7/8/2022 0:32,73.89, , , , 
7/8/2022 0:33,73.95, , , , 
7/8/2022 0:34,74.02, , , , 
7/8/2022 0:35,74.08, , , , 
7/8/2022 0:36,74.16, , , , 
7/8/2022 0:37,74.18, , , , 
7/8/2022 0:38,74.2, , , , 
7/8/2022 0:39,74.25, , , , 
7/8/2022 0:40,74.27, , , , 
7/8/2022 0:41,74.33, , , , 
7/8/2022 0:42,74.35, , , , 
7/8/2022 0:43,74.47, , , , 
7/8/2022 0:44,74.51, , , , 
7/8/2022 0:45,74.51, , , , 
7/8/2022 0:46,74.56, , , , 
7/8/2022 0:47,74.58, , , , 
7/8/2022 0:48,74.64, , , , 
7/8/2022 0:49,74.6, , , , 
7/8/2022 0:50,74.58, , , , 
7/8/2022 0:51,74.54, , , , 
7/8/2022 0:52,74.43, , , , 
7/8/2022 0:53,74.33, , , , 
7/8/2022 0:54,74.23, , , , 
7/8/2022 0:55,74.2, , , , 
7/8/2022 0:56,74.18, , , , 
7/8/2022 0:57,74.22, , , , 
7/8/2022 0:58,74.25, , , , 
7/8/2022 0:59,74.33, , , , 
7/8/2022 1:00,74.41, , , , 
7/8/2022 1:01,74.39, , , , 
7/8/2022 1:02,74.47, , , , 
7/8/2022 1:03,74.52, , , , 
7/8/2022 1:04,74.56, , , , 
7/8/2022 1:05,74.58, , , , 
7/8/2022 1:06,74.6, , , , 
7/8/2022 1:07,74.62, , , , 
7/8/2022 1:08,74.64, , , , 
7/8/2022 1:09,74.66, , , , 
7/8/2022 1:10,74.7, , , , 
7/8/2022 1:11,74.76, , , , 
7/8/2022 1:12,74.79, , , , 
7/8/2022 1:13,74.78, , , , 
7/8/2022 1:14,74.85, , , , 
7/8/2022 1:15,74.81, , , , 
7/8/2022 1:16,74.87, , , , 
7/8/2022 1:17,74.89, , , , 
7/8/2022 1:18,74.81, , , , 
7/8/2022 1:19,74.74, , , , 
7/8/2022 1:20,74.56, , , , 
7/8/2022 1:21,74.39, , , , 
7/8/2022 1:22,74.35, , , , 
7/8/2022 1:23,74.27, , , , 
7/8/2022 1:24,74.25, , , , 
7/8/2022 1:25,74.25, , , , 
7/8/2022 1:26,74.39, , , , 
7/8/2022 1:27,74.43, , , , 
7/8/2022 1:28,74.52, , , , 
7/8/2022 1:29,74.58, , , , 
7/8/2022 1:30,74.62, , , , 
7/8/2022 1:31,74.64, , , , 
7/8/2022 1:32,74.68, , , , 
7/8/2022 1:33,74.7, , , , 
7/8/2022 1:34,74.76, , , , 
7/8/2022 1:35,74.78, , , , 
7/8/2022 1:36,74.81, , , , 
7/8/2022 1:37,74.83, , , , 
7/8/2022 1:38,74.85, , , , 
7/8/2022 1:39,74.91, , , , 
7/8/2022 1:40,74.91, , , , 
7/8/2022 1:41,74.91, , , , 
7/8/2022 1:42,74.97, , , , 
7/8/2022 1:43,74.97, , , , 
7/8/2022 1:44,74.95, , , , 
7/8/2022 1:45,74.99, , , , 
7/8/2022 1:46,75.01, , , , 
7/8/2022 1:47,75.03, , , , 
7/8/2022 1:48,75.08, , , , 
7/8/2022 1:49,75.08, , , , 
7/8/2022 1:50,75.12, , , , 
7/8/2022 1:51,75.16, , , , 
7/8/2022 1:52,75.16, , , , 
7/8/2022 1:53,75.12, , , , 
7/8/2022 1:54,75.16, , , , 
7/8/2022 1:55,75.16, , , , 
7/8/2022 1:56,75.18, , , , 
7/8/2022 1:57,75.22, , , , 
7/8/2022 1:58,75.22, , , , 
7/8/2022 1:59,75.26, , , , 
7/8/2022 2:00,75.24, , , , 
7/8/2022 2:01,75.28, , , , 
7/8/2022 2:02,75.32, , , , 
7/8/2022 2:03,75.32, , , , 
7/8/2022 2:04,75.37, , , , 
7/8/2022 2:05,75.41, , , , 
7/8/2022 2:06,75.41, , , , 
7/8/2022 2:07,75.37, , , , 
7/8/2022 2:08,75.37, , , , 
7/8/2022 2:09,75.43, , , , 
7/8/2022 2:10,75.43, , , , 
7/8/2022 2:11,75.45, , , , 
7/8/2022 2:12,75.49, , , , 
7/8/2022 2:13,75.51, , , , 
7/8/2022 2:14,75.55, , , , 
7/8/2022 2:15,75.61, , , , 
7/8/2022 2:16,75.59, , , , 
7/8/2022 2:17,75.62, , , , 
7/8/2022 2:18,75.64, , , , 
7/8/2022 2:19,75.64, , , , 
7/8/2022 2:20,75.64, , , , 
7/8/2022 2:21,75.7, , , , 
7/8/2022 2:22,75.66, , , , 
7/8/2022 2:23,75.66, , , , 
7/8/2022 2:24,75.68, , , , 
7/8/2022 2:25,75.7, , , , 
7/8/2022 2:26,75.72, , , , 
7/8/2022 2:27,75.72, , , , 
7/8/2022 2:28,75.78, , , , 
7/8/2022 2:29,75.78, , , , 
7/8/2022 2:30,75.76, , , , 
7/8/2022 2:31,75.74, , , , 
7/8/2022 2:32,75.78, , , , 
7/8/2022 2:33,75.78, , , , 
7/8/2022 2:34,75.82, , , , 
7/8/2022 2:35,75.88, , , , 
7/8/2022 2:36,75.88, , , , 
7/8/2022 2:37,75.93, , , , 
7/8/2022 2:38,75.93, , , , 
7/8/2022 2:39,75.93, , , , 
7/8/2022 2:40,76.01, , , , 
7/8/2022 2:41,75.97, , , , 
7/8/2022 2:42,75.99, , , , 
7/8/2022 2:43,76.01, , , , 
7/8/2022 2:44,76.03, , , , 
7/8/2022 2:45,76.03, , , , 
7/8/2022 2:46,76.09, , , , 
7/8/2022 2:47,76.07, , , , 
7/8/2022 2:48,76.15, , , , 
7/8/2022 2:49,76.15, , , , 
7/8/2022 2:50,76.13, , , , 
7/8/2022 2:51,76.15, , , , 
7/8/2022 2:52,76.18, , , , 
7/8/2022 2:53,76.17, , , , 
7/8/2022 2:54,76.24, , , , 
7/8/2022 2:55,76.24, , , , 
7/8/2022 2:56,76.24, , , , 
7/8/2022 2:57,76.26, , , , 
7/8/2022 2:58,76.28, , , , 
7/8/2022 2:59,76.34, , , , 
7/8/2022 3:00,76.36, , , , 
7/8/2022 3:01,76.3, , , , 
7/8/2022 3:02,76.32, , , , 
7/8/2022 3:03,76.36, , , , 
7/8/2022 3:04,76.32, , , , 
7/8/2022 3:05,76.34, , , , 
7/8/2022 3:06,76.36, , , , 
7/8/2022 3:07,76.32, , , , 
7/8/2022 3:08,76.38, , , , 
7/8/2022 3:09,76.38, , , , 
7/8/2022 3:10,76.42, , , , 
7/8/2022 3:11,76.44, , , , 
7/8/2022 3:12,76.45, , , , 
7/8/2022 3:13,76.47, , , , 
7/8/2022 3:14,76.49, , , , 
7/8/2022 3:15,76.49, , , , 
7/8/2022 3:16,76.45, , , , 
7/8/2022 3:17,76.49, , , , 
7/8/2022 3:18,76.49, , , , 
7/8/2022 3:19,76.53, , , , 
7/8/2022 3:20,76.53, , , , 
7/8/2022 3:21,76.55, , , , 
7/8/2022 3:22,76.57, , , , 
7/8/2022 3:23,76.59, , , , 
7/8/2022 3:24,76.61, , , , 
7/8/2022 3:25,76.61, , , , 
7/8/2022 3:26,76.61, , , , 
7/8/2022 3:27,76.63, , , , 
7/8/2022 3:28,76.69, , , , 
7/8/2022 3:29,76.73, , , , 
7/8/2022 3:30,76.73, , , , 
7/8/2022 3:31,76.76, , , , 
7/8/2022 3:32,76.78, , , , 
7/8/2022 3:33,76.78, , , , 
7/8/2022 3:34,76.78, , , , 
7/8/2022 3:35,76.78, , , , 
7/8/2022 3:36,76.82, , , , 
7/8/2022 3:37,76.86, , , , 
7/8/2022 3:38,76.86, , , , 
7/8/2022 3:39,76.88, , , , 
7/8/2022 3:40,76.86, , , , 
7/8/2022 3:41,76.9, , , , 
7/8/2022 3:42,76.86, , , , 
7/8/2022 3:43,76.9, , , , 
7/8/2022 3:44,76.92, , , , 
7/8/2022 3:45,76.96, , , , 
7/8/2022 3:46,76.96, , , , 
7/8/2022 3:47,76.98, , , , 
7/8/2022 3:48,76.98, , , , 
7/8/2022 3:49,77.01, , , , 
7/8/2022 3:50,77.01, , , , 
7/8/2022 3:51,77, , , , 
7/8/2022 3:52,77.05, , , , 
7/8/2022 3:53,77.07, , , , 
7/8/2022 3:54,77.05, , , , 
7/8/2022 3:55,77.05, , , , 
7/8/2022 3:56,77.05, , , , 
7/8/2022 3:57,77.05, , , , 
7/8/2022 3:58,77.07, , , , 
7/8/2022 3:59,77.07, , , , 
7/8/2022 4:00,77.17, , , , 
7/8/2022 4:01,77.15, , , , 
7/8/2022 4:02,77.19, , , , 
7/8/2022 4:03,77.21, , , , 
7/8/2022 4:04,77.25, , , , 
7/8/2022 4:05,77.23, , , , 
7/8/2022 4:06,77.23, , , , 
7/8/2022 4:07,77.21, , , , 
7/8/2022 4:08,77.25, , , , 
7/8/2022 4:09,77.23, , , , 
7/8/2022 4:10,77.25, , , , 
7/8/2022 4:11,77.23, , , , 
7/8/2022 4:12,77.32, , , , 
7/8/2022 4:13,77.42, , , , 
7/8/2022 4:14,77.48, , , , 
7/8/2022 4:15,77.57, , , , 
7/8/2022 4:16,77.67, , , , 
7/8/2022 4:17,77.71, , , , 
7/8/2022 4:18,77.75, , , , 
7/8/2022 4:19,77.86, , , , 
7/8/2022 4:20,77.88, , , , 
7/8/2022 4:21,77.9, , , , 
7/8/2022 4:22,77.98, , , , 
7/8/2022 4:23,78.02, , , , 
7/8/2022 4:24,78.06, , , , 
7/8/2022 4:25,78.06, , , , 
7/8/2022 4:26,78.08, , , , 
7/8/2022 4:27,78.12, , , , 
7/8/2022 4:28,78.13, , , , 
7/8/2022 4:29,78.19, , , , 
7/8/2022 4:30,78.21, , , , 
7/8/2022 4:31,78.21, , , , 
7/8/2022 4:32,78.27, , , , 
7/8/2022 4:33,78.27, , , , 
7/8/2022 4:34,78.31, , , , 
7/8/2022 4:35,78.29, , , , 
7/8/2022 4:36,78.31, , , , 
7/8/2022 4:37,78.33, , , , 
7/8/2022 4:38,78.35, , , , 
7/8/2022 4:39,78.37, , , , 
7/8/2022 4:40,78.37, , , , 
7/8/2022 4:41,78.4, , , , 
7/8/2022 4:42,78.39, , , , 
7/8/2022 4:43,78.4, , , , 
7/8/2022 4:44,78.4, , , , 
7/8/2022 4:45,78.44, , , , 
7/8/2022 4:46,78.46, , , , 
7/8/2022 4:47,78.42, , , , 
7/8/2022 4:48,78.44, , , , 
7/8/2022 4:49,78.48, , , , 
7/8/2022 4:50,78.5, , , , 
7/8/2022 4:51,78.48, , , , 
7/8/2022 4:52,78.54, , , , 
7/8/2022 4:53,78.56, , , , 
7/8/2022 4:54,78.56, , , , 
7/8/2022 4:55,78.56, , , , 
7/8/2022 4:56,78.58, , , , 
7/8/2022 4:57,78.6, , , , 
7/8/2022 4:58,78.62, , , , 
7/8/2022 4:59,78.58, , , , 
7/8/2022 5:00,78.64, , , , 
7/8/2022 5:01,78.64, , , , 
7/8/2022 5:02,78.66, , , , 
7/8/2022 5:03,78.67, , , , 
7/8/2022 5:04,78.69, , , , 
7/8/2022 5:05,78.71, , , , 
7/8/2022 5:06,78.69, , , , 
7/8/2022 5:07,78.71, , , , 
7/8/2022 5:08,78.75, , , , 
7/8/2022 5:09,78.77, , , , 
7/8/2022 5:10,78.81, , , , 
7/8/2022 5:11,78.77, , , , 
7/8/2022 5:12,78.79, , , , 
7/8/2022 5:13,78.81, , , , 
7/8/2022 5:14,78.85, , , , 
7/8/2022 5:15,78.87, , , , 
7/8/2022 5:16,78.87, , , , 
7/8/2022 5:17,78.93, , , , 
7/8/2022 5:18,78.91, , , , 
7/8/2022 5:19,78.95, , , , 
7/8/2022 5:20,78.93, , , , 
7/8/2022 5:21,78.96, , , , 
7/8/2022 5:22,79, , , , 
7/8/2022 5:23,78.96, , , , 
7/8/2022 5:24,79.04, , , , 
7/8/2022 5:25,79.02, , , , 
7/8/2022 5:26,79, , , , 
7/8/2022 5:27,79, , , , 
7/8/2022 5:28,79.04, , , , 
7/8/2022 5:29,79.08, , , , 
7/8/2022 5:30,79.06, , , , 
7/8/2022 5:31,79.1, , , , 
7/8/2022 5:32,79.12, , , , 
7/8/2022 5:33,79.12, , , , 
7/8/2022 5:34,79.18, , , , 
7/8/2022 5:35,79.18, , , , 
7/8/2022 5:36,79.22, , , , 
7/8/2022 5:37,79.22, , , , 
7/8/2022 5:38,79.25, , , , 
7/8/2022 5:39,79.25, , , , 
7/8/2022 5:40,79.27, , , , 
7/8/2022 5:41,79.27, , , , 
7/8/2022 5:42,79.31, , , , 
7/8/2022 5:43,79.33, , , , 
7/8/2022 5:44,79.35, , , , 
7/8/2022 5:45,79.37, , , , 
7/8/2022 5:46,79.37, , , , 
7/8/2022 5:47,79.39, , , , 
7/8/2022 5:48,79.39, , , , 
7/8/2022 5:49,79.45, , , , 
7/8/2022 5:50,79.39, , , , 
